Fecha,Site,flow,Device,Loading,Shipping,Payments,Review,Congrats,missing,day_of_week,month,year,Shipping_ratio,Payments_ratio,Review_ratio,Congrats_ratio,TOTAL,input_on_Shipping,missing_on_Shipping,input_on_Payments,missing_on_Payments,input_on_Review,missing_on_Review,input_on_Congrats,missing_on_Congrats,anomaly
2019-03-05 00:00:00+00:00,MLA,cart,iOS,0,1294,912,714,676,False,1,3,2019,0.0,0.705,0.7829999999999999,0.9470000000000001,0.522,False,False,False,False,False,False,False,False,False
2019-03-05 00:00:00+00:00,MLA,direct,Android,159192,151029,119921,79137,73578,False,1,3,2019,0.9490000000000001,0.794,0.66,0.93,0.48700000000000004,False,False,False,False,False,False,False,False,False
2019-03-05 00:00:00+00:00,MLA,direct,Desktop,71298,67429,57333,43257,41916,False,1,3,2019,0.946,0.85,0.754,0.9690000000000001,0.622,False,False,False,False,False,False,False,False,False
2019-03-05 00:00:00+00:00,MLA,direct,Mobile,74185,70248,53964,33750,31120,False,1,3,2019,0.9470000000000001,0.768,0.625,0.922,0.44299999999999995,False,False,False,False,False,False,False,False,False
2019-03-05 00:00:00+00:00,MLA,direct,iOS,29237,27081,22501,16484,15372,False,1,3,2019,0.9259999999999999,0.831,0.733,0.9329999999999999,0.568,False,False,False,False,False,False,False,False,False
2019-03-05 00:00:00+00:00,MLC,direct,Desktop,20716,20519,17804,14840,14007,False,1,3,2019,0.99,0.868,0.8340000000000001,0.9440000000000001,0.6829999999999999,False,False,False,False,False,False,False,False,False
2019-03-05 00:00:00+00:00,MLC,direct,Mobile,16774,16691,12833,10105,8979,False,1,3,2019,0.995,0.769,0.787,0.889,0.5379999999999999,False,False,False,False,False,False,False,False,False
2019-03-05 00:00:00+00:00,MLU,direct,Desktop,1255,1241,1081,886,861,False,1,3,2019,0.9890000000000001,0.871,0.82,0.972,0.6940000000000001,False,False,False,False,False,False,False,False,False
2019-03-05 00:00:00+00:00,MLU,direct,Mobile,2356,2320,1963,1528,1423,False,1,3,2019,0.985,0.846,0.778,0.9309999999999999,0.613,False,False,False,False,False,False,False,False,False
2019-03-06 00:00:00+00:00,MLA,cart,Android,0,9136,6717,5056,4750,False,2,3,2019,0.0,0.735,0.753,0.9390000000000001,0.52,False,False,False,False,False,False,False,False,False
2019-03-06 00:00:00+00:00,MLA,cart,Desktop,0,7137,5389,4726,4609,False,2,3,2019,0.0,0.755,0.877,0.975,0.6459999999999999,False,False,False,False,False,False,False,False,False
2019-03-06 00:00:00+00:00,MLA,cart,Mobile,0,2867,2145,1600,1508,False,2,3,2019,0.0,0.748,0.746,0.943,0.526,False,False,False,False,False,False,False,False,False
2019-03-06 00:00:00+00:00,MLA,cart,iOS,0,1674,1276,964,883,False,2,3,2019,0.0,0.762,0.755,0.9159999999999999,0.527,False,False,False,False,False,False,False,False,False
2019-03-06 00:00:00+00:00,MLA,direct,Android,201155,191359,155003,110761,103856,False,2,3,2019,0.951,0.81,0.715,0.938,0.5429999999999999,False,False,False,False,False,False,False,False,True
2019-03-06 00:00:00+00:00,MLA,direct,Desktop,128716,122599,106288,83705,81550,False,2,3,2019,0.9520000000000001,0.867,0.7879999999999999,0.9740000000000001,0.665,False,False,False,False,False,False,False,False,True
2019-03-06 00:00:00+00:00,MLA,direct,Mobile,84528,79988,62924,43047,40332,False,2,3,2019,0.946,0.787,0.684,0.937,0.504,False,False,False,False,False,False,False,False,True
